registros 120
colunas 7
0,42	0,68	0,255709053	0	0,104561742	0,023825854	0,17
0,39	0,57	0,389196847	0,051343577	0,220042519	0,128187124	0,25
0,32	0,48	0,222644432	0,105903561	0,332547239	0,229967850	0,33
0,26	0,40	0,294619838	0,169556879	0,457029258	0,344542090	0,42
0,32	0,40	0,649178040	0,509089275	0,719176299	0,614360866	0,66
0,34	0,37	0,527748615	0,386373523	0,345709482	0,235168863	0,25
0,30	0,34	0,334644300	0,334260592	0,250663792	0,123287342	0,10
0,29	0,28	0,418539605	0,255912959	0,430990059	0,305830523	0,27
0,28	0,24	0,431666976	0,335748113	0,527955354	0,406756738	0,38
0,19	0,22	0,193755668	0,435596120	0,470990392	0,352366885	0,32
0,20	0,24	0,490564627	0,612707973	0,442040723	0,325663023	0,28
0,22	0,23	0,550596069	0,483582634	0,360889620	0,251679951	0,20
0,18	0,20	0,335159433	0,361892904	0,288185023	0,183757481	0,12
0,16	0,18	0,379235790	0,415671156	0,503598082	0,365367647	0,28
0,11	0,10	0,304381842	0,126296973	0,348950650	0,228760599	0,12
0,17	0,14	0,668779012	0,747574679	0,744028377	0,623626337	0,53
0,29	0,23	0,867980155	1	0,839130183	0,738102257	0,68
0,37	0,25	0,722918429	0,643526967	0,585161300	0,507812057	0,43
0,34	0,21	0,343721853	0,333523997	0,374066492	0,290147074	0,13
0,35	0,19	0,502125893	0,409729700	0,407179707	0,321779776	0,17
0,25	0,17	0,169687494	0,429306688	0,403191530	0,317906006	0,16
0,10	0,16	0	0,431987947	0,337308083	0,256022394	0,08
0	0,14	0,114585781	0,422363170	0,265398018	0,187221216	0
0,02	0,13	0,541309735	0,483763947	0,541607879	0,419821319	0,23
0,08	0,17	0,670829104	0,761007160	0,710092970	0,585213427	0,42
0,14	0,16	0,675356496	0,435175414	0,710092970	0,585213427	0,42
0,23	0,11	0,746600712	0,327799043	0,710092970	0,585213427	0,42
0,31	0,10	0,753500308	0,449313331	0,582226915	0,494795560	0,33
0,34	0,13	0,570073796	0,702516020	0,616591778	0,521715600	0,35
0,31	0,15	0,348601172	0,608667966	0,493674526	0,435464057	0,27
0,27	0,17	0,352753783	0,616993494	0,502623107	0,441581270	0,28
0,23	0,19	0,329914419	0,660155746	0,453237429	0,408522861	0,25
0,21	0,23	0,389034012	0,726171207	0,429177011	0,392818634	0,24
0,20	0,24	0,431324124	0,595591733	0,603369309	0,499986758	0,32
0,27	0,27	0,698929331	0,634743795	0,937556184	0,786236646	0,56
0,33	0,28	0,641332502	0,585392456	0,798277620	0,695778694	0,50
0,37	0,28	0,601631162	0,526170848	0,645793255	0,590358312	0,42
0,36	0,26	0,452094520	0,444046725	0,362623991	0,357023557	0,23
0,33	0,24	0,348738364	0,386546994	0,306094286	0,303515793	0,18
0,28	0,25	0,310785899	0,597008425	0,603306583	0,542274819	0,37
0,20	0,23	0,206720272	0,441346444	0,372963982	0,331519179	0,17
0,16	0,23	0,323746117	0,520135378	0,474132740	0,418133952	0,25
0,14	0,22	0,419887673	0,473315009	0,390290504	0,341095421	0,17
0,21	0,24	0,670545554	0,608540970	0,696373768	0,621393198	0,42
0,15	0,18	0,284838047	0,215874825	0,406364265	0,344385908	0,15
0,15	0,13	0,473623097	0,290468850	0,451131159	0,386019473	0,19
0,21	0,13	0,638098595	0,553794696	0,712972122	0,648628620	0,46
0,28	0,17	0,722600482	0,728182331	0,734115653	0,671344432	0,48
0,29	0,21	0,469018776	0,727885760	0,666086861	0,614148780	0,43
0,45	0,28	1	0,846664305	0,931870532	0,906267524	0,78
0,57	0,36	0,881859604	0,933818297	0,805443298	0,796484492	0,68
0,62	0,42	0,625690030	0,851434275	0,771304310	0,767414683	0,66
0,65	0,48	0,542866433	0,851482317	0,665663149	0,679000010	0,58
0,64	0,48	0,440018210	0,508424991	0,455550472	0,488221693	0,40
0,52	0,50	0,097311932	0,648264710	0,358331877	0,391207606	0,30
0,46	0,54	0,266240462	0,719301329	0,522115362	0,524119278	0,43
0,40	0,54	0,277380144	0,496751468	0,509778800	0,513265903	0,42
0,43	0,57	0,575867326	0,709630199	0,819374149	0,796497456	0,73
0,56	0,65	0,860238672	0,878599493	0,931501101	0,922834883	0,89
0,70	0,66	0,949687101	0,604100198	0,931501101	0,922834883	0,89
0,85	0,71	0,918393662	0,752602776	1	1	1,00
0,94	0,73	0,782270566	0,639825599	0,718144619	0,775458196	0,82
0,93	0,75	0,413491103	0,583706267	0,530710164	0,605237170	0,66
0,83	0,76	0,155504728	0,585526129	0,357754424	0,428744492	0,48
0,80	0,83	0,385974677	0,906601681	0,663453010	0,699668916	0,79
0,74	0,88	0,275678344	0,762434164	0,612753567	0,651373142	0,74
0,71	0,93	0,394754485	0,758904544	0,595271398	0,635500984	0,73
0,75	0,94	0,562443299	0,571075458	0,664230661	0,693487959	0,79
0,83	0,93	0,729692792	0,469416807	0,692887809	0,717169485	0,82
0,82	0,90	0,423756636	0,414636820	0,574006828	0,624553396	0,74
0,81	0,86	0,439189341	0,324728080	0,530693435	0,590389636	0,71
0,80	0,84	0,450964340	0,448414086	0,530693435	0,590389636	0,71
0,74	0,82	0,267591205	0,429458742	0,274501202	0,375605927	0,53
0,68	0,84	0,287828970	0,602274017	0,377645945	0,441437162	0,58
0,63	0,80	0,299437338	0,333035594	0,297878169	0,371143993	0,53
0,54	0,74	0,180060125	0,234269396	0,109533806	0,175171547	0,34
0,50	0,71	0,346143908	0,402312268	0,482978891	0,452603284	0,56
0,45	0,64	0,318278233	0,206832083	0,276378302	0,246384616	0,35
0,41	0,58	0,321521217	0,228459396	0,356302543	0,312091586	0,41
0,38	0,53	0,367007175	0,280931398	0,356302543	0,312091586	0,41
0,43	0,51	0,637260830	0,411407780	0,584206939	0,498653330	0,56
0,44	0,49	0,493200412	0,441484851	0,638323474	0,546403650	0,60
0,51	0,50	0,685311363	0,591930454	0,673863537	0,577068709	0,62
0,55	0,50	0,608393275	0,524196795	0,600458463	0,525370674	0,58
0,61	0,52	0,649991926	0,607519257	0,685577934	0,592522405	0,64
0,65	0,58	0,586487130	0,811973037	0,800855814	0,690360318	0,71
0,67	0,60	0,531273068	0,618620397	0,731175535	0,646004094	0,68
0,63	0,61	0,332440955	0,606024752	0,330741920	0,332377548	0,46
0,58	0,61	0,301338820	0,504421777	0,241398470	0,243253437	0,38
0,57	0,64	0,432778798	0,672509423	0,599534171	0,537950196	0,60
0,54	0,65	0,383743294	0,564681281	0,616705093	0,553668940	0,61
0,57	0,68	0,554127755	0,677380014	0,836826677	0,771997343	0,80
0,64	0,69	0,658680822	0,581398633	0,668483667	0,632433660	0,70
0,69	0,69	0,634100512	0,528034488	0,512651992	0,493575651	0,59
0,67	0,67	0,392308946	0,429060682	0,410053030	0,396549632	0,51
0,68	0,67	0,523089710	0,505406426	0,649910472	0,610980265	0,69
0,61	0,64	0,223184655	0,378847533	0,413936370	0,384643391	0,49
0,52	0,62	0,207316544	0,457543858	0,304888000	0,267992438	0,37
0,43	0,60	0,176450627	0,405026296	0,192162705	0,138670574	0,23
0,31	0,51	0,094837387	0,112516892	0,080124968	0	0,0
0,18	0,44	0,055954513	0,189815440	0,254695010	0,147051705	0,16
0,11	0,35	0,247414794	0,101909189	0,336141993	0,218328019	0,22
