registros 19
colunas 7
23,88	23,59	23,93	0,25	1,06	16300	23,40
23,40	23,40	23,60	-0,48	-2,01	07600	23,50
23,50	22,86	23,50	0,10	0,43	12100	23,00
23,00	22,99	23,52	-0,50	-2,13	17700	23,03
23,03	22,85	23,10	0,03	0,13	06200	22,80
22,80	22,32	23,09	-0,23	-1,00	31500	22,55
22,55	21,99	22,70	-0,25	-1,10	19700	22,47
22,47	22,44	22,62	-0,08	-0,35	24000	22,00
22,00	22,00	22,80	-0,47	-2,09	22400	22,18
22,18	22,03	22,44	0,18	0,82	26400	22,95
22,95	22,35	22,95	0,77	3,47	75500	23,59
23,59	22,63	23,59	0,64	2,79	50700	23,40
23,40	23,40	23,90	-0,19	-0,81	20000	23,42
23,42	23,31	23,88	0,02	0,09	22300	23,00
23,00	22,80	23,07	-0,42	-1,79	20600	22,74
22,74	22,47	22,79	-0,26	-1,13	21600	22,48
22,48	22,15	22,70	-0,26	-1,14	77400	21,87
21,87	21,63	22,79	-0,61	-2,71	28500	21,85
21,85	21,50	21,85	-0,02	-0,09	06900	21,98
